Hospital_Name,OH_Region,Peer_Group,Reporting_Period,Indicator_Code,Avg_Hours,Patient_Volume,Pct_Within_Target,Target_Hours
Trillium Health Partners - Mississauga,Central,Large Community,2024-11,LOS_ADMITTED,14.79,846,34.1,8.0
Health Sciences North,North,Teaching,2025-03-01,LOS_LOW_URGENCY,6.24,3227,52.4,4.0
St Michaels Hospital,Toronto,Teaching,2026-03-01,LOS_HIGH_URGENCY,8.89,1674,,8.0
Osler Brampton Civic,Central,Large Community,2025-10,LOS_ADMITTED,16.07,903,28.8,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,202502,LOS_LOW_URGENCY,5.91,3372,60.1,4.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2025-09-01,LOS_HIGH_URGENCY,6.78,1662,91.3%,8.0
Hamilton Health Sciences - General,West,Teaching,202606,LOS_HIGH_URGENCY,7.44,1704,83.8,8.0
Health Sciences North,North,Teaching,7/2026,LOS_LOW_URGENCY,4.66,3050,70.7,4.0
Mississauga Hospital,Central,Large Community,2024-08,LOS_ADMITTED,14.94,958,39.0,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2026-02-01,LOS_HIGH_URGENCY,8.33,2301,85.0,8.0
Kingston Health Sciences Centre,East,Teaching,6/2025,wt_phys_assess,2.18,3640,80.1,2.0
Lakeridge Oshawa,Central,Large Community,202411,LOS_HIGH_URGENCY,8.03,1598,82.9,8.0
Scarborough Health Network - General,Toronto,Large Community,2024-07-01,LOS_ADMITTED,13.28,743,50.1,8.0
GRH Kitchener,West,Large Community,7/2024,LOS_ADMITTED,13.04,840,52.3,8.0
PRHC,East,Large Community,2024-09-01,WT_PHYS_ASSESS,1.79,4335,86.3,2.0
Markham Stouffville,Central,Large Community,9/2025,LOS_LOW_URGENCY,4.67,3490,78.1,4.0
Toronto General Hosp.,Toronto,Teaching,202606,LOS_LOW_URGENCY,5.27,2793,68.8,4.0
Lakeridge Oshawa,Central,Large Community,202511,LOS_LOW_URGENCY,4.65,2374,75.2,4.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2/2025,LOS_HIGH_URGENCY,-1.0,1768,95.0,8.0
NYGH,Toronto,Large Community,2025-08-01,WT_PHYS_ASSESS,1.84,4071,88.8,2.0
Niagara Health SCS,West,Large Community,202504,WT_PHYS_ASSESS,1.73,5238,91.7,2.0
Windsor Regional Hospital - Ouellette,West,Large Community,2025-07-01,WT_PHYS_ASSESS,1.69,3492,91.7,2.0
Sunnybrook HSC,Toronto,Teaching,2024-08,WT_PHYS_ASSESS,2.2,3325,74.7,2.0
Peterborough Regional,East,Large Community,2025-05-01,LOS_HIGH_URGENCY,5.69,2019,95.0,8.0
TOH Civic,EAST,Teaching,4/2025,LOS_HIGH_URGENCY,7.08,2281,93.5,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,8/2024,LOS_LOW_URGENCY,4.85,2318,74.1,4.0
Oshawa General,Central,Large Community,2026-01,LOS_ADMITTED,14.21,967,38.2,8.0
London Victoria Hospital,West,Teaching,2025-07-01,LOS_ADMITTED,15.02,1057,34.5,8.0
Windsor Ouellette Campus,West,Large Community,202410,WT_PHYS_ASSESS,1.78,4365,92.8,2.0
Ottawa Hospital - Civic Campus,East,Teaching,9/2025,LOS_HIGH_URGENCY,8.22,2303,82.2,8.0
UHN - Toronto General,Toronto,Teaching,11/2025,LOS_LOW_URGENCY,5.81,2834,61.5,4.0
GRH Kitchener,West,Large Community,2025-06-01,WT_PHYS_ASSESS,1.72,4982,88.6,2.0
Niagara Health - St. Catharines,WEST,Large Community,2026-05,WT_PHYS_ASSESS,1.81,3886,84.8,2.0
Peterborough Regional Health Centre,East,Large Community,2024-11-01,LOS_ADMITTED,12.77,1079,49.0,8.0
Kingston Health Sciences Centre,East,Teaching,202501,LOS_LOW_URGENCY,6.38,3383,54.6,4.0
Toronto General Hosp.,Toronto,Teaching,7/2025,WT_PHYS_ASSESS,1.99,4774,82.5,2.0
Health Sciences North,North,Teaching,6/2026,LOS_ADMITTED,17.16,790,25.0,8.0
Toronto General Hospital,Toronto,Teaching,11/2025,WT_PHYS_ASSESS,2.48,3536,71.5,2.0
Grand River Hospital,West,Large Community,2026-07,LOS_HIGH_URGENCY,5.72,1504,95.0,8.0
Kingston General Hospital,East,Teaching,2026-05,LOS_HIGH_URGENCY,6.56,1686,93.5,8.0
Osler Brampton Civic,Central,Large Community,3/2026,LOS_LOW_URGENCY,4.52,3332,78.0,4.0
St Catharines General,West,Large Community,2025-07,LOS_LOW_URGENCY,4.17,2891,80.1,4.0
Kingston Health Sciences Centre,East,Teaching,202410,LOS_ADMITTED,,,40.2,8.0
London Victoria Hospital,West,Teaching,10/2024,LOS_ADMITTED,,767,39.8,8.0
Hamilton General,West,Teaching,6/2025,LOS_ADMITTED,15.33,759,31.5,8.0
Brampton Civic Hospital,Central,Large Community,202504,WT_PHYS_ASSESS,1.98,5223,83.8,2.0
TBRHSC,North,Teaching,202502,WT_PHYS_ASSESS,2.21,5791,,2.0
WRH Ouellette,West,Large Community,2024-10,LOS_LOW_URGENCY,4.99,2756,69.0,4.0
Grand River Hosp,West,Large Community,202601,WT_PHYS_ASSESS,2.26,4472,78.4,2.0
Scarborough General,Toronto,Large Community,2025-05-01,WT_PHYS_ASSESS,1.98,4648,80.2,2.0
PRHC,East,Large Community,8/2025,LOS_ADMITTED,12.47,786,55.0,8.0
Oak Valley Health - Markham,Central,Large Community,202511,WT_PHYS_ASSESS,2.49,3373,72.9,2.0
SHN General,Toronto,Large Community,202601,LOS_HIGH_URGENCY,9.05,1846,74.8,8.0
Lakeridge Health - Oshawa,CENTRAL,Large Community,12/2024,LOS_LOW_URGENCY,5.12,3201,65.1,4.0
Markham Stouffville Hospital,Central,Large Community,12/2025,WT_PHYS_ASSESS,2.57,4463,70.0,2.0
Oak Valley Health - Markham,Central,Large Community,2025-05,LOS_ADMITTED,12.74,849,52.2,8.0
Grand River Hosp,West,Large Community,6/2026,los_low_urgency,4.83,2595,71.3,4.0
Ottawa Hospital - Civic Campus,East,Teaching,2024-10,LOS_ADMITTED,15.79,865,30.1,8.0
Hamilton General,West,Teaching,202606,WT_PHYS_ASSESS,1.8,4773,87.8,2.0
Kingston Health Sciences Centre,East,Teaching,202505,LOS_LOW_URGENCY,5.9,2959,59.4,4.0
Peterborough Regional Health Centre,East,Large Community,202510,LOS_LOW_URGENCY,5.44,3191,62.6,4.0
Kingston General Hospital,East,Teaching,10/2024,LOS_LOW_URGENCY,5.32,2618,69.3,4.0
Osler Brampton Civic,Central,Large Community,7/2024,LOS_HIGH_URGENCY,7.37,1809,86.2,8.0
Peterborough Regional,East,Large Community,202602,WT_PHYS_ASSESS,2.37,4297,73.5,2.0
HHS General Site,West,Teaching,202505,LOS_HIGH_URGENCY,8.14,1907,85.3,8.0
SHN General,Toronto,Large Community,2024-10,WT_PHYS_ASSESS,2.07,4191,80.2,2.0
William Osler Health System - Brampton Civic,Central,Large Community,8/2025,WT_PHYS_ASSESS,1.9,4678,90.0,2.0
RVH Barrie,Central,Large Community,2025-11,WT_PHYS_ASSESS,2.46,4237,69.3,2.0
NYGH,Toronto,Large Community,7/2025,LOS_HIGH_URGENCY,7.11,2016,88.8,8.0
NYGH,Toronto,Large Community,202412,WT_PHYS_ASSESS,2.41,5130,,2.0
Trillium Health Partners - Mississauga,CENTRAL,Large Community,2024-12,LOS_ADMITTED,16.38,857,25.0,8.0
HHS General Site,West,Teaching,2025-12,WT_PHYS_ASSESS,,4816,81.6,2.0
Kingston Health Sciences Centre,East,Teaching,8/2024,LOS_ADMITTED,17.03,892,25.0,8.0
Niagara Health - St. Catharines,West,Large Community,202410,LOS_LOW_URGENCY,4.11,2651,80.3,4.0
Scarborough Health Network - General,Toronto,Large Community,2025-04-01,LOS_LOW_URGENCY,5.79,3477,57.4,4.0
Royal Victoria Barrie,Central,Large Community,202408,LOS_LOW_URGENCY,5.71,2951,57.9,4.0
Peterborough Regional Health Centre,East,Large Community,2024-09-01,LOS_ADMITTED,15.21,1035,35.4,8.0
Scarborough General,TORONTO,Large Community,202508,WT_PHYS_ASSESS,2.25,3699,76.1,2.0
THP Mississauga,CENTRAL,Large Community,2025-01,WT_PHYS_ASSESS,2.25,5738,79.8,2.0
Osler Brampton Civic,Central,Large Community,9/2025,LOS_LOW_URGENCY,5.59,2936,63.3,4.0
Royal Victoria Barrie,Central,Large Community,8/2025,LOS_LOW_URGENCY,5.7,2475,57.7,4.0
Grand River Hosp,WEST,Large Community,3/2026,LOS_LOW_URGENCY,4.96,2422,68.3,4.0
HSN Sudbury,NORTH,Teaching,202407,LOS_ADMITTED,16.78,848,25.0,8.0
RVH Barrie,Central,Large Community,2026-02,LOS_ADMITTED,15.25,1230,35.6,8.0
LHSC Victoria,West,Teaching,2026-01,LOS_HIGH_URGENCY,7.95,2090,84.8,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2025-10,LOS_HIGH_URGENCY,7.26,2266,89.3,8.0
RVH Barrie,CENTRAL,Large Community,2024-09-01,WT_PHYS_ASSESS,1.99,4471,86.8,2.0
London Victoria Hospital,West,Teaching,202412,WT_PHYS_ASSESS,-1.0,5359,95.0,2.0
Hamilton Health Sciences - General,West,Teaching,7/2025,WT_PHYS_ASSESS,2.16,4289,78.0,2.0
Trillium Health Partners - Mississauga,Central,Large Community,2025-10-01,LOS_ADMITTED,17.0,1092,25.0,8.0
London Health Sciences Centre - Victoria,West,Teaching,11/2024,LOS_HIGH_URGENCY,7.82,2188,,8.0
HSN Sudbury,North,Teaching,202606,WT_PHYS_ASSESS,2.04,3622,81.4,2.0
Windsor Regional Hospital - Ouellette,West,Large Community,202408,LOS_ADMITTED,12.6,931,52.0,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,7/2025,LOS_LOW_URGENCY,5.09,2478,65.3,4.0
Lakeridge Oshawa,Central,Large Community,2026-07,WT_PHYS_ASSESS,1.9,4897,86.1,2.0
Niagara Health SCS,West,Large Community,202408,LOS_LOW_URGENCY,5.12,2452,67.9,4.0
Mississauga Hospital,Central,Large Community,2026-02-01,LOS_ADMITTED,17.91,844,25.0,8.0
Health Sciences North,North,Teaching,2025-04-01,WT_PHYS_ASSESS,1.97,4916,82.8,2.0
Royal Victoria Regional Health Centre,Central,Large Community,202507,LOS_LOW_URGENCY,4.28,3020,76.4,4.0
Grand River Hospital,West,Large Community,202604,LOS_LOW_URGENCY,5.73,3283,63.6,4.0
Lakeridge Oshawa,Central,Large Community,202606,LOS_HIGH_URGENCY,5.95,1799,95.0,8.0
Trillium Health Partners - Mississauga,Central,Large Community,8/2025,WT_PHYS_ASSESS,2.17,4425,76.5,2.0
Osler Brampton Civic,Central,Large Community,2024-07-01,WT_PHYS_ASSESS,1.98,3538,87.9,2.0
Kingston Health Sciences Centre,East,Teaching,2025-01-01,WT_PHYS_ASSESS,2.69,5017,64.4,2.0
London Victoria Hospital,West,Teaching,11/2025,LOS_ADMITTED,17.61,785,25.0,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,202605,WT_PHYS_ASSESS,2.15,4705,76.2,2.0
Lakeridge Oshawa,Central,Large Community,202501,LOS_ADMITTED,16.26,1123,27.2,8.0
KHSC,East,Teaching,2025-12,WT_PHYS_ASSESS,2.63,5366,63.9,2.0
Grand River Hospital,West,Large Community,202602,WT_PHYS_ASSESS,1.99,5089,84.8,2.0
London Victoria Hospital,West,Teaching,2026-05,LOS_HIGH_URGENCY,6.93,1551,94.7,8.0
Windsor Ouellette Campus,West,Large Community,2026-02-01,LOS_ADMITTED,17.08,970,25.0,8.0
Hamilton Health Sciences - General,WEST,Teaching,5/2026,LOS_LOW_URGENCY,-1.0,2943,95.0,4.0
Mississauga Hospital,Central,Large Community,202506,WT_PHYS_ASSESS,,4961,87.2,2.0
Markham Stouffville Hospital,Central,Large Community,2025-01,WT_PHYS_ASSESS,2.61,4467,70.1,2.0
North York General,Toronto,Large Community,2026-01,LOS_ADMITTED,17.37,1034,25.0,8.0
LHSC Victoria,West,Teaching,2/2025,LOS_ADMITTED,16.72,1249,25.0%,8.0
GRH Kitchener,West,Large Community,202510,WT_PHYS_ASSESS,2.32,4789,72.5,2.0
Brampton Civic Hospital,Central,Large Community,11/2025,LOS_ADMITTED,14.66,1021,41.3,8.0
Niagara Health SCS,West,Large Community,10/2025,LOS_LOW_URGENCY,4.1,3266,82.8,4.0
The Ottawa Hospital Civic,East,Teaching,8/2025,LOS_LOW_URGENCY,5.73,2802,61.1,4.0
Lakeridge Oshawa,Central,Large Community,2025-12,WT_PHYS_ASSESS,2.81,5350,58.6,2.0
St Michaels Hospital,Toronto,Teaching,2026-02-01,LOS_HIGH_URGENCY,9.51,2359,73.2,8.0
UHN - Toronto General,Toronto,Teaching,2025-05,WT_PHYS_ASSESS,2.34,5045,73.9,2.0
HHS General Site,West,Teaching,202407,WT_PHYS_ASSESS,1.94,3964,84.7,2.0
Lakeridge Oshawa,Central,Large Community,2024-09-01,LOS_LOW_URGENCY,-1.0,2288,95.0,4.0
WRH Ouellette,West,Large Community,2025-10-01,LOS_ADMITTED,12.27,729,55.6,8.0
RVH Barrie,Central,Large Community,2025-09,LOS_ADMITTED,17.17,825,25.0,8.0
The Ottawa Hospital Civic,East,Teaching,2025-06-01,WT_PHYS_ASSESS,-1.0,4527,95.0,2.0
Lakeridge Oshawa,Central,Large Community,202505,LOS_LOW_URGENCY,5.24,2275,68.2,4.0
Windsor Ouellette Campus,West,Large Community,5/2025,WT_PHYS_ASSESS,2.4,3813,73.5,2.0
NYGH,Toronto,Large Community,2025-07-01,WT_PHYS_ASSESS,1.81,3767,87.9,2.0
St Michaels Hospital,Toronto,Teaching,2025-05-01,LOS_ADMITTED,19.8,895,25.0,8.0
HHS General Site,West,Teaching,2/2025,LOS_ADMITTED,18.37,1211,25.0,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,10/2025,LOS_LOW_URGENCY,5.18,2983,70.8,4.0
Ottawa Hospital - Civic Campus,East,Teaching,202604,LOS_ADMITTED,15.54,1004,27.8,8.0
HHS General Site,West,Teaching,11/2025,LOS_LOW_URGENCY,5.67,2559,62.7,4.0
TOH Civic,East,Teaching,2/2025,LOS_ADMITTED,17.72,1155,25.0,8.0
The Ottawa Hospital Civic,EAST,Teaching,2025-12-01,LOS_ADMITTED,18.08,946,25.0,8.0
TOH Civic,East,Teaching,8/2024,LOS_LOW_URGENCY,4.83,2828,72.7,4.0
Trillium Health Partners - Mississauga,Central,Large Community,2024-08-01,LOS_LOW_URGENCY,5.03,2813,68.4,4.0
TBRHSC,North,Teaching,2025-02,LOS_ADMITTED,20.11,1044,25.0,8.0
Toronto General Hosp.,Toronto,Teaching,2025-06-01,LOS_ADMITTED,17.74,1055,25.0,8.0
Grand River Hospital,West,Large Community,202510,LOS_HIGH_URGENCY,7.08,1771,89.6,8.0
The Ottawa Hospital Civic,East,Teaching,202507,LOS_HIGH_URGENCY,7.1,1736,91.9,8.0
London Health Sciences Centre - Victoria,West,Teaching,2025-10,LOS_ADMITTED,17.45,948,25.0,8.0
SHN General,TORONTO,Large Community,202409,LOS_HIGH_URGENCY,7.02,1644,91.3,8.0
Niagara Health - St. Catharines,West,Large Community,202410,LOS_ADMITTED,12.75,735,48.3,8.0
HSN Sudbury,North,Teaching,2026-07,WT_PHYS_ASSESS,2.21,3636,80.0,2.0
Scarborough General,Toronto,Large Community,2025-04-01,LOS_HIGH_URGENCY,7.53,1602,85.3,8.0
Niagara Health - St. Catharines,West,Large Community,2025-11,WT_PHYS_ASSESS,2.35,4150,71.0%,2.0
Windsor Regional Hospital - Ouellette,West,Large Community,2024-09-01,LOS_HIGH_URGENCY,6.16,1846,95.0,8.0
Niagara Health SCS,West,Large Community,202509,LOS_HIGH_URGENCY,6.69,2294,94.9,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2025-04-01,LOS_HIGH_URGENCY,7.27,1714,92.2,8.0
Unity Health - St. Michael's,Toronto,Teaching,2024-09,WT_PHYS_ASSESS,2.66,4296,67.9,2.0
Unity Health - St. Michael's,Toronto,Teaching,202508,WT_PHYS_ASSESS,2.38,3506,69.0,2.0
TORONTO GENERAL,Toronto,Teaching,2025-04,WT_PHYS_ASSESS,2.23,4963,80.9,2.0
WRH Ouellette,West,Large Community,2025-01,LOS_HIGH_URGENCY,8.68,2508,80.2,8.0
Grand River Hospital,West,Large Community,8/2024,LOS_ADMITTED,12.41,947,50.0,8.0
Sudbury Regional Hospital,North,Teaching,2026-07-01,LOS_ADMITTED,13.55,1026,46.6,8.0
UHN - Toronto General,Toronto,Teaching,2025-03-01,LOS_HIGH_URGENCY,8.59,2095,83.3,8.0
HHS General Site,West,Teaching,2026-02,LOS_LOW_URGENCY,5.18,2708,65.2,4.0
HSN Sudbury,North,Teaching,1/2025,WT_PHYS_ASSESS,2.65,3943,67.9,2.0
Oak Valley Health - Markham,Central,Large Community,2025-07,WT_PHYS_ASSESS,1.76,4496,91.6,2.0
Mississauga Hospital,Central,Large Community,202410,LOS_ADMITTED,16.47,844,25.8,8.0
Scarborough Health Network - General,Toronto,Large Community,2024-08,LOS_HIGH_URGENCY,6.67,1930,89.4,8.0
North York General Hospital,Toronto,Large Community,202507,LOS_LOW_URGENCY,5.93,2737,57.7,4.0
Windsor Ouellette Campus,West,Large Community,3/2026,WT_PHYS_ASSESS,2.3,4894,77.1,2.0
SHN General,Toronto,Large Community,12/2025,LOS_HIGH_URGENCY,7.16,2302,91.2,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2025-12,LOS_HIGH_URGENCY,8.01,1963,84.2,8.0
Grand River Hospital,West,Large Community,202411,LOS_LOW_URGENCY,4.63,3136,73.7,4.0
London Health Sciences Centre - Victoria,West,Teaching,202508,WT_PHYS_ASSESS,2.24,4676,76.1,2.0
London Victoria Hospital,West,Teaching,4/2025,WT_PHYS_ASSESS,2.56,4716,70.5,2.0
TBRHSC,North,Teaching,1/2025,LOS_ADMITTED,20.92,1211,25.0,8.0
GRH Kitchener,West,Large Community,4/2026,LOS_HIGH_URGENCY,7.46,1645,88.5,8.0
Niagara Health SCS,West,Large Community,4/2026,LOS_HIGH_URGENCY,6.5,1770,90.3,8.0
Oshawa General,Central,Large Community,4/2026,LOS_HIGH_URGENCY,6.85,2049,91.1,8.0
Trillium Health Partners - Mississauga,Central,Large Community,2025-04-01,LOS_ADMITTED,15.41,1105,30.9,8.0
SUNNYBROOK,Toronto,Teaching,2024-10-01,LOS_HIGH_URGENCY,6.7,1930,95.0,8.0
Lakeridge Health - Oshawa,Central,Large Community,8/2024,WT_PHYS_ASSESS,1.85,3906,91.0,2.0
Brampton Civic Hospital,Central,Large Community,2/2026,LOS_LOW_URGENCY,6.38,3888,48.7,4.0
SHN General,Toronto,Large Community,2026-02-01,WT_PHYS_ASSESS,2.15,5082,81.0,2.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2025-12,WT_PHYS_ASSESS,2.47,4078,72.0,2.0
Sudbury Regional Hospital,North,Teaching,6/2025,LOS_HIGH_URGENCY,6.57,1568,90.8,8.0
Sunnybrook HSC,Toronto,Teaching,2025-11,WT_PHYS_ASSESS,2.31,3480,71.3,2.0
Markham Stouffville,Central,Large Community,2024-07,LOS_ADMITTED,14.15,970,41.8,8.0
Scarborough General,Toronto,Large Community,5/2026,LOS_ADMITTED,,859,38.9,8.0
SHN General,Toronto,Large Community,2026-06,LOS_HIGH_URGENCY,7.54,1629,85.2,8.0
SUNNYBROOK,Toronto,Teaching,5/2026,LOS_HIGH_URGENCY,7.61,1592,86.3,8.0
THP Mississauga,Central,Large Community,202411,LOS_HIGH_URGENCY,6.24,2363,95.0,8.0
Brampton Civic Hospital,Central,Large Community,202409,LOS_ADMITTED,13.56,775,48.4,8.0
St Catharines General,West,Large Community,202504,LOS_ADMITTED,17.02,804,25.3,8.0
GRH Kitchener,West,Large Community,2024-09-01,WT_PHYS_ASSESS,1.99,5072,82.2,2.0
Lakeridge Oshawa,Central,Large Community,2025-01,LOS_LOW_URGENCY,6.2,2510,53.6,4.0
SUNNYBROOK,Toronto,Teaching,2025-05,LOS_ADMITTED,19.03,857,25.0,8.0
North York General,Toronto,Large Community,2025-12-01,LOS_HIGH_URGENCY,,2107,95.0,8.0
TOH Civic,East,Teaching,2026-04,LOS_LOW_URGENCY,4.74,3148,74.8,4.0
Windsor Regional Hospital - Ouellette,West,Large Community,2025-12-01,LOS_LOW_URGENCY,4.93,2948,66.8,4.0
North York General,Toronto,Large Community,2025-02-01,LOS_LOW_URGENCY,5.85,3670,,4.0
Markham Stouffville Hospital,Central,Large Community,2026-05,WT_PHYS_ASSESS,1.88,4777,89.7,2.0
Kingston Health Sciences Centre,East,Teaching,2026-01,LOS_ADMITTED,17.88,839,25.0,8.0
Lakeridge Oshawa,Central,Large Community,202503,LOS_ADMITTED,15.38,798,35.2,8.0
St. Michael's Hospital,Toronto,Teaching,202412,LOS_ADMITTED,18.01,831,25.0,8.0
Markham Stouffville Hospital,Central,Large Community,7/2024,LOS_HIGH_URGENCY,7.11,2039,86.4,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,12/2025,LOS_LOW_URGENCY,5.24,3870,62.8,4.0
LHSC Victoria,West,Teaching,2026-06-01,LOS_ADMITTED,16.24,,30.7,8.0
SUNNYBROOK,Toronto,Teaching,7/2025,WT_PHYS_ASSESS,2.5,3303,69.6,2.0
Toronto General Hosp.,Toronto,Teaching,10/2025,WT_PHYS_ASSESS,2.65,3691,66.6,2.0
KHSC,East,Teaching,2025-07-01,LOS_LOW_URGENCY,5.71,2523,63.8,4.0
Thunder Bay Regional,North,Teaching,2025-04-01,LOS_LOW_URGENCY,5.71,2543,59.5,4.0
Scarborough Health Network - General,Toronto,Large Community,2026-05-01,LOS_LOW_URGENCY,5.74,,63.4,4.0
Royal Victoria Barrie,Central,Large Community,2025-04-01,WT_PHYS_ASSESS,2.35,4901,76.9,2.0
North York General Hospital,Toronto,Large Community,2025-05,WT_PHYS_ASSESS,2.44,4595,70.0,2.0
TOH Civic,East,Teaching,4/2026,WT_PHYS_ASSESS,1.91,,85.9,2.0
St Catharines General,West,Large Community,2024-11-01,LOS_LOW_URGENCY,4.95,3443,68.5,4.0
UHN - Toronto General,Toronto,Teaching,7/2025,LOS_ADMITTED,16.17,801,25.0,8.0
WRH Ouellette,West,Large Community,2025-08,LOS_LOW_URGENCY,5.36,2823,68.7,4.0
THP Mississauga,Central,Large Community,2026-02,LOS_HIGH_URGENCY,9.14,2443,73.4%,8.0
Scarborough Health Network - General,Toronto,Large Community,202410,LOS_ADMITTED,18.42,1124,25.0,8.0
Grand River Hosp,West,Large Community,2025-03,LOS_ADMITTED,13.74,910,40.2,8.0
KHSC,East,Teaching,2025-10-01,WT_PHYS_ASSESS,,3678,82.4,2.0
Osler Brampton Civic,Central,Large Community,2026-05,WT_PHYS_ASSESS,2.48,4439,73.7,2.0
Windsor Regional Hospital - Ouellette,West,Large Community,202503,LOS_ADMITTED,15.84,1059,27.3,8.0
Oak Valley Health - Markham,Central,Large Community,2025-08-01,wt_phys_assess,1.89,3923,86.3,2.0
Oak Valley Health - Markham,Central,Large Community,3/2026,LOS_ADMITTED,16.79,1035,25.0,8.0
Markham Stouffville Hospital,Central,Large Community,202602,WT_PHYS_ASSESS,2.75,5681,63.4,2.0
Grand River Hospital,West,Large Community,202601,LOS_HIGH_URGENCY,8.34,2601,80.0,8.0
KHSC,East,Teaching,7/2026,LOS_ADMITTED,16.21,1035,28.5,8.0
Kingston Health Sciences Centre,East,Teaching,202510,LOS_HIGH_URGENCY,8.08,1840,81.6,8.0
St Michaels Hospital,Toronto,Teaching,2026-02-01,LOS_LOW_URGENCY,6.95,3526,42.2,4.0
St. Michael's Hospital,Toronto,Teaching,11/2024,LOS_LOW_URGENCY,5.45,3341,62.5,4.0
Peterborough Regional,East,Large Community,2025-07,WT_PHYS_ASSESS,1.73,4722,88.1,2.0
North York General Hospital,Toronto,Large Community,2025-09-01,LOS_HIGH_URGENCY,7.27,1850,84.8,8.0
Kingston General Hospital,East,Teaching,2025-07,LOS_ADMITTED,13.13,1034,44.8,8.0
Niagara Health SCS,West,Large Community,202511,LOS_LOW_URGENCY,5.11,2442,70.4,4.0
NYGH,Toronto,Large Community,6/2026,LOS_ADMITTED,16.82,822,25.0,8.0
North York General Hospital,Toronto,Large Community,2026-05,LOS_LOW_URGENCY,6.2,2311,51.9,4.0
London Victoria Hospital,West,Teaching,7/2026,WT_PHYS_ASSESS,1.95,4601,86.8,2.0
Markham Stouffville Hospital,Central,Large Community,7/2025,LOS_LOW_URGENCY,4.62,2173,74.1,4.0
TORONTO GENERAL,Toronto,Teaching,2024-07,LOS_LOW_URGENCY,4.66,2366,,4.0
Grand River Hosp,West,Large Community,6/2025,LOS_ADMITTED,12.6,703,52.3,8.0
North York General Hospital,Toronto,Large Community,2024-07,LOS_LOW_URGENCY,4.84,2360,73.5,4.0
GRH Kitchener,West,Large Community,3/2025,LOS_LOW_URGENCY,4.11,3208,79.5,4.0
NYGH,Toronto,Large Community,202501,LOS_ADMITTED,17.37,1242,25.0,8.0
The Ottawa Hospital Civic,East,Teaching,2026-03-01,LOS_ADMITTED,15.08,839,33.4,8.0
TOH Civic,East,Teaching,2025-06-01,LOS_HIGH_URGENCY,6.82,1650,88.7,8.0
Kingston Health Sciences Centre,East,Teaching,11/2025,LOS_LOW_URGENCY,4.97,2324,71.8,4.0
Osler Brampton Civic,Central,Large Community,9/2024,LOS_LOW_URGENCY,5.94,2369,59.7,4.0
SUNNYBROOK,Toronto,Teaching,1/2026,LOS_ADMITTED,21.19,979,25.0,8.0
William Osler Health System - Brampton Civic,Central,Large Community,10/2024,LOS_LOW_URGENCY,5.58,2499,63.1,4.0
St Catharines General,West,Large Community,2024-12-01,LOS_ADMITTED,15.4,1060,35.7,8.0
Windsor Ouellette Campus,West,Large Community,202506,wt_phys_assess,1.64,3793,90.6,2.0
Royal Victoria Regional Health Centre,Central,Large Community,202510,WT_PHYS_ASSESS,2.52,3392,71.1,2.0
TORONTO GENERAL,Toronto,Teaching,202412,LOS_HIGH_URGENCY,9.0,1992,80.1,8.0
Royal Victoria Barrie,Central,Large Community,2026-07-01,LOS_LOW_URGENCY,5.36,2162,61.0,4.0
St Catharines General,West,Large Community,2025-06,LOS_HIGH_URGENCY,5.63,,95.0,8.0
Oak Valley Health - Markham,Central,Large Community,2024-09,LOS_LOW_URGENCY,5.6,2449,61.4,4.0
William Osler Health System - Brampton Civic,Central,Large Community,202605,LOS_HIGH_URGENCY,7.31,1958,87.7,8.0
Thunder Bay Regional,North,Teaching,2025-05,LOS_LOW_URGENCY,6.13,2515,52.9,4.0
William Osler Health System - Brampton Civic,Central,Large Community,202512,LOS_HIGH_URGENCY,7.68,1949,86.8,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2026-02,WT_PHYS_ASSESS,2.3,4422,73.9,2.0
TOH Civic,East,Teaching,2025-01-01,LOS_LOW_URGENCY,4.85,3350,73.8,4.0
Peterborough Regional,East,Large Community,2025-11,LOS_ADMITTED,11.95,1061,57.5,8.0
The Ottawa Hospital Civic,East,Teaching,8/2025,WT_PHYS_ASSESS,2.11,3660,79.1,2.0
Osler Brampton Civic,Central,Large Community,202412,LOS_HIGH_URGENCY,9.1,,79.7,8.0
Markham Stouffville,Central,Large Community,2025-05,LOS_LOW_URGENCY,4.53,2476,73.7,4.0
WRH Ouellette,West,Large Community,202503,LOS_HIGH_URGENCY,7.27,1979,86.6,8.0
TBRHSC,North,Teaching,2024-09,LOS_HIGH_URGENCY,7.19,1825,88.9,8.0
Lakeridge Oshawa,Central,Large Community,202604,WT_PHYS_ASSESS,2.11,3942,79.0,2.0
